,category,text,postid,pred_category,pred_category_text
215,0,"HVAC/R (Northwest Suburbs) HVAC experience on Commercial & Residential systems, Including the following:  \xe2\x80\xa2 Designs and installs new HVAC equipment  \xe2\x80\xa2 Problem Diagnostic and Retrofit of older systems \xe2\x80\xa2 Electrical and Mechanical problem solving, troubleshooting and repairs to all types of  Heating, A/C systems, Boilers, Mini-Splits, Water heater, etc.  \xe2\x80\xa2 Fabrication of sheet metal work and Pipefitting \xe2\x80\xa2 EPA-Universal  \xe2\x80\xa2 Construction background, Electricity, Welding and Plumbing \xe2\x80\xa2 Bilingual   Sub-Contractor, Tax-1099, Contractor, General Labor",7395947898,6,skilled trades/artisan
216,0,"FORKLIFT DRIVER - (RAIL/OTR/Consolidation) Hello,   I am a forklift driver looking for work near Cicero, IL. Vast experience working with OTR trailers. Loading according to DOT Regulations, ways to move weight around, and safely securing expensive freight.    Please email me as I am available to work",7399003821,3,transportation
232,0,avaiable after 3pm. (oak forest) I\'m looking for work after 3pm part time full time don\'t matter.. experience is mostly in the trades laboring  I\'ve done everything from digging trenches to bending simple conduit and running wires.  used to sand hardwood floors with edger around the room and stairs. id prefer demo if its in the trades but I\'m open to everything.  I\'ve done demo on my 2 feet and also on scissor lift. both residential and commercial  some painting Recently I was a assistant store manager at a family dollar store  please reply with a description of a job and pay  schedule if possible  thank you matt,7404411824,5,food/beverage/hospitality
242,0,"Sales, Tech Support and Customer Service | Sales - Cold Calls Okay! Greetings Hiring Managers and Small Business Owners!  I\'m looking for a position in Marketing, Tech Support, Customer Service and/or Sales...  For the right gig, I don\'t mind cold calling and have been VERY successful at it too.  I am self motivated and do not require direct supervision..  I can gauge my own success with RESULTS!  Give me a call or send an email...  Let\'s discuss how I can possibly help to build and/or support your business. I have extensive experience with Sales, IT Support, Tech Support, Internet/Networking and Finance (Bonds, specifically). I also have over 15 years experience Building Websites, Internet Marketing, SEO, E-Commerce and Social Media.  Tele-Commute positions ONLY!  Resume available upon request...  PLEASE Call or Email...   NO TEXTS!!!  Best regards, Michael 303-623-three999",7400121806,12,sales
244,0,"windows, Doors And more (little village) My name its Miguel looking for job I do much about construction remodeling I am very honest person  if you have  plans for project don\'t hesitate  please let me know   Windows Doors Cabinets Interior doors Bathrooms Kitchens backsplash New basements  frame. I don\'t licence for now working on that  show contact info  Ceramic floors Laminated floors   please let me know for free estimate also working in my license",7394128578,1,general labor
258,0,Looking for some part-time work (Lake Station) Will work hard have a lot of experience in construction. Call at  show contact info,7405023431,1,general labor
259,0,"Chicago Blogger Seeking Remote Freelance Work (Chicago and Greater Chicagoland Area) I am currently seeking remote, freelance work for social media, web editing, and writing/blogging (open to other ideas). I\xe2\x80\x99m hearing-impaired, and it has become too difficult to find work in an office setting. Please shoot me an email, and thanks in advance.  https://www.chicagonow.com/on-tap-windy-city/",7405816874,5,food/beverage/hospitality
265,0,"Virtual Assistant / Manager (Remote / Virtual) I am looking for a position as a Virtual Assistant or Manager.  My specialty is in supporting senior level executives and business owners.   Currently, I am looking for a remote position only.    \t Rate- $30 / hour  Availability- 25-30 hours per week / Remote  My resume and excellent references are available upon request.  If requesting my resume, please provide details about your position and your company.  Serious inquires only.",7401801282,1,general labor
272,0,"CDL OTR 1099 (Chicago) I\'m looking for an OTR driving position that will pay me as a 1099 driver. Started driving in May 2007 and have been out of the driver seat since March 2016. My CDL is inactive and will need a DOT physical to make it active My big rig driving record is spotless  No Volvo or Automatic transmissions Prefer percentage of CPM, Controlled Temp or Van, NO Hazmat If you have a truck ready to run I can make it move If you need I will run for up to 7 days with you or a trainer No criminal record",7406716231,3,transportation
284,0,Looking for High Ticket Commission Work From Home Sales (Remote) 30+ years experience selling high ticket items ranging from 5k to over 100k+ strictly over the phone sight unseen.  Straight commission ok (actually preferred). Can take sale from front to end including any customer service if needed. Team player. Disciplined and takes direction well. Sales management experience also if needed. Looking for long term. Please text or call Frank @  show contact info,7405300575,12,sales
285,0,"CDL Driver (Palatine) Class A Driver 70CPM OTR Driving,Dryvan Only! Available to start Asap!",7403897198,3,transportation
289,0,"Caregiver  available (Glenview IL) Available to work as private caregiver/companion any where in Des Plaines IL area or nearest Suburbs. available (7am- 8pm)  3-5 days a week $25 per hour. Full -Time or Part-Time employment.  16 years experience,         "" Serious Offers Only ""      Keywords:  caregiver\xe2\x80\x8e, senior care assistance, elderly care, Available now",7398085842,3,transportation
303,0,"~I Will design your WEBSITE, LOGO & manage your SOCIAL MEDIA~ My name is Joyel. I\'m a us based graphic designer, web designer and social media marketing expert working from home full time. I have worked with many businesses, entrepreneurs, and also entertainers in helping them establish their Digital Media presence. I provide affordable rates and fast turnaround times.  My passion and work ethic exceed client expectations. I have a passion for everything digital and continually learn the latest trends and strategies. I am knowledgeable in digital marketing, web design, graphic design, business cards and logos, video editing, launches and startups.  I would love to talk more about your business needs and how I can help expand your business with the services I provide. Have a look through my sites and don\'t hesitate to get in touch if you\'d like to talk about what we can achieve together.  Recent Websites Designed: 1. http://officialellise.com - Built on Wix 2. http://lodidoor.com - Built on Wordpress 3. http://premieradoption.org - Built on Wix 4. https://www.isaiahjamel.com - Built on Wix 5. http://designforce.me - Built on Wordpress 6. http://pasmagroup.com - Built on Wordpress 7. http://lakevaletllc.com - Built on Wix",7401929735,12,sales
308,0,Retired Crane Operator  with CDL license (Northwest Chicago) I am a Retired Crane Operator who is looking for part-time work. I have a CDL license with a current Medical card. I\xe2\x80\x99m interested in working locally during the day.,7399179318,3,transportation
326,0,"Caregiver,home help (Chicago) Male Caregiver looking for job 4 - 9 hours a day.I have experience more than 10 years. Car,dl,speaking English. Chicago and suburbs. Baking and cooking skills!Thanks",7402317857,9,healthcare
336,0,"Hardworkinh Laborer Looking for a cash paying job! (Chicago) Good afternoon, I am a 26 year old hardworking Mexican American  individual. Very professional & serious when it comes to my job! Looking for a cash paying job/gig. I execute every task! I have my drivers license and my own vehicles. Looking for a laborer position in the City of Chicago. I al open for work every day mornings until 4:30/5PM. I am a quick learner.  Please feel free to reach out to me if you are in need of a hardworking laborer and are offering good pay. Thank you for your time.  Best,",7391537583,1,general labor
351,0,Flooring Right Hand Man (Chicago) If you need a solid apprentice/ partner to complete jobs fast I\'m your guy with the experience and skills. Commercial or residential. I have dependable transportation to work and tools. Full time or by-the-job.,7397073305,6,skilled trades/artisan
352,0,"Excellent Caring Caregiver Excellent caring caregiver is available to provide service for activities of daily living. Has years of experience. Help with light housekeeping, shopping, errands, meal preparation, and more. Available for live-in, come and go, and full or part-time. Excellent references. Vaccinated. State Certified. Drives.",7403700458,9,healthcare
361,0,"Seeking cash work for injured worker Older handyman with experience in home repair, yardwork, or just offering a helping hand if you need it looking for cash paid daily type of work. No job too big or small, older people especially that have old fashioned ways of doing things or willing to mentor and share some knowledge... I am in Illinois butt right on the border and hoping to find someone firm on what they need done...",7391240017,1,general labor
368,0,"cash gig (Chicago) Hi my name is Markus I\xe2\x80\x99m a reliable worker looking for cash gigs in Chicago city or near by I have experience in painting, cleaning, moving and some roofing! All responses are greatly  appreciated.",7396033259,1,general labor
371,0,Bookkeeper (Glenview) Experienced QuickBooks Bookkeeper available for part-time/contract or temporary work in the near north suburbs. Detail orientated with excellent references.,7400003342,1,general labor
376,0,"work from home (Bensenville) I\'m looking for job from home ASAP.Good pay a must! Legal,moral and ethical.No post adds on Craiglist no transfer money or funds.In your e-mail include job description,pay and your address.",7380710919,6,skilled trades/artisan
379,0,"Let me spoil you (Chicago) Business executive 61, white, 6\'2, squeaky clean, educated and generous seeking young, attractive, open minded girl.",7406914409,5,food/beverage/hospitality
385,0,"General Labor Help Needed - Entry Level (South Chicago Northwest Indiana) Immediate Hiring of Tier 1 Field Technician (Entry Level General Labor)  During the 90 day probationary period, you will be under observation by lead technicians and management. During this time, you will have hands on training and be expected to become familiar with our standard operating procedures.  During your probationary period, you will be monitored by your performance rating and attendance by a member of management or by a Lead Technician.   Responsibilities & Expectations \xef\x83\x98\tProfessionalism while dealing with clients, co-workers, and management \xef\x83\x98\tIdentify and communicate proper stock levels for vehicles/warehouse \xef\x83\x98\tIdentify Bio-Hazards on work-site. (Tier 1 Field Tech will not perform blood cleanup, however, will be able to observe for training purposes / Per Management Approval). \xef\x83\x98\tAssess Steri-Clean vehicles for: (Communicate any needs to management) o\tCleanliness o\tOrganization o\tContamination o\tServices needed o\tEmergency supplies o\tprobationary period without prompt from management. \xef\x83\x98\tAble to perform solo tasks based on management discretion. \xef\x83\x98\tActively show interest, initiative in learning and growing \xef\x83\x98\tMust be able to accept constructive criticism and implement improvements as directed  \xef\x83\x98\tMust be able to pass all pre-employment testing as outline in Handbook. (i.e.: Physical / Drug Test / Pulmonary Physical) \xef\x83\x98\tMust complete and be able to pass all respiratory testing. (i.e: Pulmonary Function Physical / Fit Testing / Respirator",7394431047,1,general labor
410,0,"House Cleaning Wanted (Chicago) Looking for a maid/ house cleaner to clean our 2 br apartment.  Located on the northside and can provide supplies.  If interested, send availability and pic. Thanks for reading.",7401249159,5,food/beverage/hospitality
419,0,"General Contractor, cleaner , mounting, HANDYMAN (Chicago) Hey there future client. My name is Danny Cordero. ive been doing quality handyman work for more than 10 years. Ive helped many people move to a new home, new apartment, ive helped them on doing any electrical job inside or outside there home. Here\'s a link to my Taskrabbit profile which shows quality reviews from many clients that had hired me using that platform.  https://www.taskrabbit.com/profile/danny-c--6/about",7394274001,6,skilled trades/artisan
426,0,"experienced remodeler (Bridgeview) Hi im experienced remodeler i do plumbing , electrical , flooring , painting , intalling security systems etc .. im seeking a full time job with the right payday . Can work up to 7 days a week . Everyone who is interested please send an email or a text message and i will reply and i will show also the projects i have made so far . I have my own transportation and my own hardware! Thank you !",7401543200,5,food/beverage/hospitality
433,0,im looking for cash paying jobs only (Blue Island) I do drywall electrical flooring plumbing painting a little bit of roofing landscaping I was cleaning car wash I work on cars at all so I do not have my own tools that do not have a car you have to be able to pick me up and willing to trust me phone number  show contact info tony live in blue island il I will not be taking any jobs posting ads on Craigslist for houses or anyting so do not waste my time I have kids to take care of interest report and bills I work for cash paid daily only do not text me if you\'re not serious or call,7393555800,1,general labor
443,0,"Virtual Assistant available- Computer skills (CHICAGO) Hello,  You can hire a virtual assistant full-time for just $700 or part-time for just $400.  Can do office tasks like working on MS Office, managing social media, doing online research, keyword research, lead generation, or anything you can train us on. Ideal for office tasks like working on MS Word, Excel, Power point and to get any repetitive tasks done....like keyword research or posting on social media, building backlinks or anything else that you can train us on.  We can hire other resources if you are looking for specialized skills.  Thanks  Please contact me",7387360377,10,admin/office
450,0,Valparaiso Painting (Valparaiso) Valparaiso Painting services.,7405259899,5,food/beverage/hospitality
457,0,"Sales Manager (Addison) Transportation with full operation skills, Excellent communication, and with a focus on business development!",7396820802,12,sales
524,0,"Remote Recruiter (Chicago) I am looking to do some remote recruiting work while working from home. I would love to get paid cash/not reportable income. I enjoy the job, and can start immediately. I have 5 years of Recruiting Experience (mainly Truck Drivers, Dispatch, Warehouse ). Just give me a chance and some basic training, and I will be successful. I have over 35 + years of customer service/Insurance experience. I am not a sales agent, please do not contact me about sales based jobs. You will be happy with my work! In a prefect situation,  Please give me a shot. I will work hard for you. Just asking for a chance.   I have references to vouch for my work. thanks JF",7398731708,1,general labor
542,0,"Experienced Office Administrator (CHICAGO) ADMINISTRATOR Bringing Years of Office Administration Experience  as Follows:  Accounts Receivable | Accounts Payable | Payroll | Human Resources | Medical Billing & Coding                           Computerized Processes | Reporting | Office Services & Records Management |  Collections  | General Office Duties |  Bilingual (Spanish)  COMPUTER PROFICIENCIES  Microsoft Office (Word, Excel, Outlook, PowerPoint), Windows, Quickbooks Pro 2013, Chronotek, Google Apps, , ADP, Paychex, Crystal reports,  e-solutions, DDE system,  Pro32, CareVoyant, Epicor 10  EDUCATION\t Business Administration Associates",7403091884,10,admin/office
552,0,"Care Provider, Personal Care Attendant, Direct Service Professional (Chicago - South) Semi-Retired mature man with extensive health and care management experience in providing outstanding skilled care, looking for part-time permanent cash position, near 60643, the Morgan Park neighborhood of Chicago, with person needing assistance to age in place in their home or any individual with specific needs including:  Respite for Primary Caregivers, Home Exercise Programs, Personal Care (Incontinence Care, Shower Safety, Bed Bath, Catheter Care, Vital Sign Monitoring), Medication Self Administration Assistance, Home Safety, Meal Preparation, Accompaniment to Appointments, Companionship,  Shopping, Errands, and Light Housekeeping (Laundry, Dishes, Linen Changes). Infection Control with In-services attended continuously. Background checks performed annually through the Illinois State Police in connection with part-time position, working with Intellectually and Developmentally Disabled Persons, and on the State of Illinois Caregiver Registry.  Fully immunized and observe all infection control precautions.  CPR certified and have a Driver\'s License. Some Graduate Education and career in management and in providing quality direct care in the home care setting.  Personal Professional References Available. My schedule is open and flexible with reasonable rates, for the level of care provided, as this will be paid in cash.",7403196853,9,healthcare
555,0,"Class A Dedicated Runs to Colorado I am an experienced class A driver. Looking for an opportunity with a company running to Colorado. Could consider dedicated runs( CO-CA/CO-IL). Able to operate trucks with manual transmission. I have clean MVR, current medical DOT card. Please reach out with details. Thank You",7397471179,3,transportation
586,0,"Bookeeping and/or Administrative Work (Chicagoland Suburbs) Experienced and professional bookkeeper / office administrator seeking work. Full or part time, daily, weekly, monthly, quarterly, or special projects. I will work from my office or yours. Over 25 years experience. Pickup / Drop off available. Please Email Or text   show contact info \xc2\xa0",7406790528,1,general labor
595,0,"Detail oriented cleaning service** (Northwest suburbs, west suburbs) I\'m offering cleaning services for your home. I am honest and trustworthy. I can also help with organizing closets and etc.",7405203056,1,general labor
600,0,"looking for odd jobs(cash paid) (Chicago) 12-15 an hour Just graduated college  Looking to make money for the holidays  Can do groceries, lawn work, dog sitting, home cleaning Male",7393777142,1,general labor
604,0,Dog sitter (Lake forest) Have worked in rescue with Fetching Tails and Almost home foundation. Worked with all breeds and sizes. My Great Dane just passed away and still have a lab. I\xe2\x80\x99m a single mom abs looking to making some extra income by watching your dog at my home. I have ample space and would also be able to exercise and walk your pet.  I have crates if needed. I\xe2\x80\x99m flexible with price as I have a true passion for animals. I live in lake forest near Everett and Waukegan.,7391076067,1,general labor
627,0,"Italian speaking caregiver (Chicago, IL) Hello, Italian speaking caregiver seeking employment 5 to 7 days per week  Seeking to obtain position with Italian speaking patient,   Have 10 years experience taking care of elderly patients.   Speak Italian.  I don\'t have car or DL    I will review your offer and let you know if  I am interested to pursue to the next level - ( one-on-one interview.) Letters of recommendations available upon one-on-one interview. I don\'t send any paper work by email.   I\'m not interested in any other job offers.             Keywords; Italian family, Italian caregiver, Italian senior care services, Italian in home elder seniors care,  reliable, affordable, local Italian caregiver, private duty, Palatine, IL, Arlington Heights, Mount Prospect, Prospect Heights, Park Ridge, Niles, Elmwood Park, Norridge, Harwood Heights, Morton Grove, Chicago, I may considered other locations.  Agencies do not respond.",7400838792,5,food/beverage/hospitality
648,0,"Appointment Setting (Chicago) I started out in cold call sales the same year people started using cellphones. The one thing that has not changed- is that like football-sales is a ""full contact sport"" lol If you need someone who is charming and polite but, does not hear the first ""no"" I am your man. I can work ""magic"" but, I am NOT Merlin. If your project works I will work it. I am willing to do a small 2-3 hr. test because I don\'t want to waste your time or mine. I am available for 10-12 hrs. a week M-F 9-5 , more hours if your project runs on the weekends. I thank you for reading this and look forward to your reply.",7389101558,5,food/beverage/hospitality
663,0,I\xe2\x80\x99m looking for a helper / assistant job part time flexible (Joliet Channahon) Hello.  Is there anyone in Joliet or close to Joliet looking for a helper/assistant?  I am looking for a part-time/flexible hours job. I currently work at a Amazon warehouse and have a very flex schedule there. I just really don\xe2\x80\x99t like the job or working for Amazon.  With my kid going to school and my wife\xe2\x80\x99s changing work schedule it\xe2\x80\x99s hard for me to have a normal full time job.  Do you have a small business and need a helper here and there? I live in Joliet and my kid goes to school in Channahon so something in or around those cities would be best.,7406861970,1,general labor
683,0,"Inside Sales Representaive-Part Time (Glenview, Illinois: 15 Mile Radius) I am an experienced Inside Sales Representative, looking for a Permanent Part Time Position, 30 hours, working in an office, or Remotely, at home,  Computer Provided.   My background in the fields of Surveillance Systems, Hospitality, Healthcare and Business Consulting, would be an asset to your company and businesses.  My MBA degree,  exceptional sales abilities,  accomplishments, plus communication skills, make me an Inside Sales Specialist who will work hard to increase your sales.",7399023085,12,sales
695,0,Certified Salesforce Lightning Developer (Chicago) Hi  I am a Chicago based Certified Salesforce Lightning Develope  I have extensive experience in the following  - Salesforce Lightning Development (LWC and Aura) - Apex Class/Triggers/Test class - Salesforce Admin/Reporting/Dashboarding/Automation - Einstein Analytics and Dashboards/Chatbots - Salesforce Shield - MFA deployment - API Integration and more....,7401606556,3,transportation
711,0,"Driver (Chicagoland) As my slow season approaches, I am offering my time availability to drive vehicles to any destination in the U.S. -Florida, Tennessee, etc.  I live in Lemont Il.  I have references.  I do not have a CDL but I have experience with most cars and trucks.  Automatic trans only.  Maybe making your delivery would be more entertaining than driving for UBER/LYFT.",7406227546,3,transportation
723,0,"Looking for work (Michigan city) Hello, I\xe2\x80\x99m a 31 year old male. Hard worker, extremely motivated and looking for any work that is sustainable and pays a livable wage. I keep hearing about all these great job openings but have yet to find a single job that Even covers my rent let alone all my other bills.  I have experience in customer service, construction, cooking, bartending, driving , and also play in a band.   Thank you for the consideration  My email is below",7393899032,1,general labor
