transportation,$1800 A WEEK GUARANTEED CDL A Driver (CHANNAHON) LIMITED TIME OFFER ! EXPIRES SOON  DRY VAN NO TOUCH FREIGHT  Some locations drop&hook    !!! $1800 a week Guaranteed !!! We run Midwest -East -South East :)  2 weeks on the road required. 1099 option  INTERESTED ? TEXT 708-866-5964,7404471831
skilled trades/artisan,"Maintenance Mechanic- 2nd shift (West Chicago) Maintenance Mechanic 2nd Shift:  Start a career with a company that knows our employees are critical to our success. 100+ years ago we started as a family-owned butcher shop in the Chicago area and have grown to be one of the largest food processing companies in the world. As our companies grows \xe2\x80\x93 we want you to join and grow with us. At the West Chicago plant, we produce hamburger patties for McDonald\'s and plant based patties for Burger King. We are hiring immediately for full time Maintenance Mechanics for second shift.    Our team is made up of more than 20,000 employees in 18 countries. Join us and discover a work experience where diverse ideas are met with enthusiasm, and where you can learn and grow to your full potential. We believe that every person can make a difference. If you are looking to make a real impact in your career, OSI is the place for you.  Why join us?  We know that you make a difference. So we strive to make a difference in your life as well with the competitive pay (up to $30/hour based on experience) and benefits you\'d expect from an industry leader, plus:  $1,000 sign on bonus and $1,000 retention bonus after 6 months Appreciation Pay of $1.00/hour more every week if you work your scheduled shifts in that week Annual merit increases and additional wage rate increases throughout the year based on skills testing Excellent Medical, Dental and Vision benefits Overtime Availability 401(k) matching and profit sharing programs Generous vacation package, sick days and paid holidays Legal service benefit available  Company Paid term life and AD&D insurance Great potential for growth with internal promotions Tuition reimbursement program available What will you do:  You will be working in our meat processing facility as a Maintenance Mechanic. You can expect to:  Diagnose and repair malfunctioning production equipment; includes mechanical, hydraulic and electrical systems. Perform scheduled preventative maintenance on production equipment. Replace broken belts, motors, and electrical systems as indicated by condition, malfunction or planned replacement schedule. Calibrate production equipment to ensure that all parts are running efficiently and correctly according to manufacturer specifications. Repair light fixtures and replace light bulbs throughout the plant. Repair pipes and plumbing problems throughout the plant. Build machine modifications or system improvements as directed. Comply with work area cleanliness standards, established work place safety procedures as well as food quality and safety procedures. Maintain accurate labor and materials records on work orders. Must be available to work any shift or overtime as required to meet production and operation schedules. Personal Protective equipment Provided (boots, frocks, bump caps, earplugs)   Required Skills: High school or equivalent reading, writing and verbal skills Minimum one-three years diagnosing, troubleshooting, repairing, and maintaining production equipment Experience in food manufacturing preferred. Basic knowledge of programmable logic controllers.",7405236187
food/beverage/hospitality,"\xe2\x9c\xadDeliver with DoorDash\xe2\x9c\xad No passengers. No bosses. Just you, your tunes, and the road. Sign up now and start making money!DOORDASH PERKS INCLUDE:Highly Flexible. Be your own boss. Work when you want, wherever you want.Earn 100% of your tips.Qualify for Fast Pay and get paid daily.Be a part of an exciting and rapidly growing community across over 1,000 cities in the U.S.REQUIREMENTS:\xe2\x9c\x93 Any Car, Bicycle, or Scooter\xe2\x9c\x93 iPhone or Android smartphone\xe2\x9c\x93 Valid Driver\'s License and insurance (only applicable to cars)\xe2\x9c\x93 18+ years of ageABOUT US:DoorDash is a technology company that connects customers with local businesses. Customers order meals and other items from their favorite local merchants and Dashers deliver it directly to their doors. Dashers are third party contractors who deliver for merchants to customers. Dashing is designed to be extremely flexible. Deliver part-time or full-time -- it\'s up to you! You get to set your own schedule and deliver wherever you want.\xc2\xa0\xc2\xa0*Dashers are paid per delivery. Earnings vary based on pay per delivery and number of deliveries completed per hour.Driving with DoorDash is perfect for a those looking for seasonal work, temporary work, part time work, part-time work, or for those looking for a flexible full time opportunity. Hours are completely flexible. You can create your own schedule. No previous experience as a transportation driver, truck driver, taxi driver, courier driver or delivery driver is necessary. We welcome those who have driven with other gig economy platforms such as Seamless, Grubhub, Eat24, Munchery, Saucey, Drizly, Google Express, AmazonFresh, Lyft, Favor, Caviar, Uber, UberX, Side car, Sprig, Instacart, Rinse, Shyp, Washio, Luxe, Zirx, Post mates, Farm Hill, Rinse, Deliv, Amazon Prime, and Ease. Our driving partners come from all backgrounds and industries ranging from traditional driving and transportation industries to more customer service and creative industries. If you are an account manager, accountant, accounting, actor, actress, admin, administrative, administrative, artist, assistant, barista, bus boy, busboy, busboy, busser, cabbie, cab driver, cab-driver, chauffeur, professional cleaner, cleaners, clerical, coffee, college student, construction, contractor, contract worker, courier, customer service, customer service agent, cyclist, data entry, data-entry, delivery driver, designer, drivers, education, entry level, entry-level, expo, finance, food runner, food-runner, foodrunner, freelancer, freelance worker, full time, full-time, gig economy user, health care, healthcare, host, hostess, hosts, human resources, human-resources, independent contractor, intern, interns, IT, limo driver, maid, maintenance, management, manager, manufacturing, marketing, messenger, musician, network marketing, nurse, office, on-demand driver, part time, part-time, private hire driver, receptionist, receptionists, restaurant, retail, retail associate, sales, sales person, salesperson, seasonal worker, server, servers, summer job seeker, teacher, teachers, temp, valet, valets, waiter, waiters, waitresses, warehouse, writer, worker, who is looking for a flexible part time or seasonal job, you should try delivering with DoorDash to supplement your income!",7405633649
transportation,"CDL A DRIVER-$0.65-$0.70 cents per mile Chicago,IL area trucking company is looking to hire Class A CDL drivers,we pay drivers $0.65-$0.70 c/m ,all miles, running reefer,for more info please call or text 773 663 8794 Nick,Thanks.",7406142073
transportation,"DRY VAN HOME DAILY CDL TRUCK DRIVER | $219/NIGHT (Blue Island, IL) Ruan is hiring drivers to haul for our dedicated customer, LKQ, based out of Blue Island, IL. This will be a Monday-Friday position, home daily, with a PM start time.  Call 1-800-879-7826 for more information.      About the Position  $219 Per Night Monday-Friday Weekends off  Home Daily Dedicated Run No-Touch Freight     Ruan Driver Benefits  Paid holidays Paid time off (PTO) and 401(k) retirement plan Dedicated customer ensures year-round work Great benefits including medical, dental, and vision   Minimum Requirements  9 months of tractor/trailer experience Must be at least 22 years or older No more than three moving violations in the past three years (some restrictions apply)   No more than one DOT recordable preventable accident in the last three years  Additional qualifications may apply",7406263864
food/beverage/hospitality,"\xe2\x9c\xadDeliver with DoorDash\xe2\x9c\xad No passengers. No bosses. Just you, your tunes, and the road. Sign up now and start making money!DOORDASH PERKS INCLUDE:Highly Flexible. Be your own boss. Work when you want, wherever you want.Earn 100% of your tips.Qualify for Fast Pay and get paid daily.Be a part of an exciting and rapidly growing community across over 1,000 cities in the U.S.REQUIREMENTS:\xe2\x9c\x93 Any Car, Bicycle, or Scooter\xe2\x9c\x93 iPhone or Android smartphone\xe2\x9c\x93 Valid Driver\'s License and insurance (only applicable to cars)\xe2\x9c\x93 18+ years of ageABOUT US:DoorDash is a technology company that connects customers with local businesses. Customers order meals and other items from their favorite local merchants and Dashers deliver it directly to their doors. Dashers are third party contractors who deliver for merchants to customers. Dashing is designed to be extremely flexible. Deliver part-time or full-time -- it\'s up to you! You get to set your own schedule and deliver wherever you want.\xc2\xa0\xc2\xa0*Dashers are paid per delivery. Earnings vary based on pay per delivery and number of deliveries completed per hour.Driving with DoorDash is perfect for a those looking for seasonal work, temporary work, part time work, part-time work, or for those looking for a flexible full time opportunity. Hours are completely flexible. You can create your own schedule. No previous experience as a transportation driver, truck driver, taxi driver, courier driver or delivery driver is necessary. We welcome those who have driven with other gig economy platforms such as Seamless, Grubhub, Eat24, Munchery, Saucey, Drizly, Google Express, AmazonFresh, Lyft, Favor, Caviar, Uber, UberX, Side car, Sprig, Instacart, Rinse, Shyp, Washio, Luxe, Zirx, Post mates, Farm Hill, Rinse, Deliv, Amazon Prime, and Ease. Our driving partners come from all backgrounds and industries ranging from traditional driving and transportation industries to more customer service and creative industries. If you are an account manager, accountant, accounting, actor, actress, admin, administrative, administrative, artist, assistant, barista, bus boy, busboy, busboy, busser, cabbie, cab driver, cab-driver, chauffeur, professional cleaner, cleaners, clerical, coffee, college student, construction, contractor, contract worker, courier, customer service, customer service agent, cyclist, data entry, data-entry, delivery driver, designer, drivers, education, entry level, entry-level, expo, finance, food runner, food-runner, foodrunner, freelancer, freelance worker, full time, full-time, gig economy user, health care, healthcare, host, hostess, hosts, human resources, human-resources, independent contractor, intern, interns, IT, limo driver, maid, maintenance, management, manager, manufacturing, marketing, messenger, musician, network marketing, nurse, office, on-demand driver, part time, part-time, private hire driver, receptionist, receptionists, restaurant, retail, retail associate, sales, sales person, salesperson, seasonal worker, server, servers, summer job seeker, teacher, teachers, temp, valet, valets, waiter, waiters, waitresses, warehouse, writer, worker, who is looking for a flexible part time or seasonal job, you should try delivering with DoorDash to supplement your income!",7405471991
transportation,"Personal Vehicle Driver - UPS - Bedford Park, IL (West Chicagoland) SEASONAL PERSONAL VEHICLE PACKAGE DRIVERAPPLY NOWSHAREEXPLORESAVESAFETYBEDFORD PARKPrimary Location: 6700 W. 73RD STREET , BEDFORD PARK, IL - United States, 60638Other Location: $21 / hour + 56 Cents Per MileFacility BEDFORD PARKJob ID ILBED6$21 / hour + 56 Cents Per MileAs a Personal Vehicle Driver, you\xe2\x80\x99ll enjoy a fast-paced, physical position that gets you outdoors and connecting with customers. From the driver\xe2\x80\x99s seat of your own car, find out what you\xe2\x80\x99ll become at UPS.About the role:\xe2\x80\xa2 Lift, lower and carry packages up to 70 pounds\xe2\x80\xa2 Full time, opportunity to work eight hours, Monday-Friday\xe2\x80\xa2 Saturday and holiday work may be available/requiredAbout you:\xc2\xa0\xe2\x80\xa2 21 years of age or older\xe2\x80\xa2 Valid driver\xe2\x80\x99s license\xe2\x80\xa2 No at fault accidents within the last 12 months\xe2\x80\xa2 No moving violations within the last 12 months\xe2\x80\xa2 Proof of a registered vehicle for use\xe2\x80\xa2 Minimum state-required auto insurance\xe2\x80\xa2 Comply with company appearance guidelinesAn applicant or employee may request an exception or change to, or an accommodation of, any condition of employment (including the UPS Uniform and Personal Appearance Guidelines) because of a sincerely held religious belief or practice.\xc2\xa0About your vehicle:\xc2\xa0\xe2\x80\xa2 No other company logos or markings\xe2\x80\xa2 No bumper stickers, political stickers, offensive markings\xe2\x80\xa2 Vehicles must be under 10,000 pounds and have a covered and secured bedUPS is an equal opportunity employer. UPS does not discriminate on the basis of race/color/religion/sex/national origin/veteran/disability/age/sexual orientation/gender identity or any other characteristic protected by law.APPLY NOW",7405507319
resumes / job wanted,"Retired CPA and CFO of Subsidiary of Morton Salt (Frankfort,  IL) Retired CPA and CFO of Subsidiary of Morton Salt (Frankfort IL) available evenings available mornings available overnight available weekends education completed: masters license info: Licensed in Illinois and Colorado Seeking part time work as Consultant, setup Accounting Systems, Computer Systems, Monthly Closes, Financial Statements, Taxes, Audits. If you need help send me you phone number and get back to you within 24 hours",7398939167
transportation,"Stellar Carriers - Earn UP TO 95 CPM (Addison) Stellar Carriers is hiring experienced CDL Class A Drivers to join our team. We are located in Addison, IL  Driver Compensation : (Dry Van): Up to $0.85 per mile (empty and loaded) and up to 35% of Total Gross  (Conestoga) : Up to $0.95 per mile (empty and loaded), and up to 35% of Total Gross  (Step Deck): Up to $1.00 per mile (empty and loaded) and up to 35% of Total Gross  (Team Drivers) : Up to $1.00 per mile or up to 37% from Total Gross.   Why us:  We pay the highest salary on the market ( 1099 weekly direct deposit ) 24/7 Assistance ( Dispatch, Fleet Management , Safety ) In-house Maintenance ( Our repair shop ) Motivational bonuses ( Paid layovers, detentions, clean DOT inspections, etc.) Weekends home ( For IL, WI, IN residents )   Job Requirements: Possess and maintain a valid Class A Commercial driver\'s license. Must be 23 years of age or older. Safe driving record and history. Pass DOT drug test and have no prior positive tests or refusals. Must be professional and responsible. Active LLC/Corporation.",7405523589
transportation,"\xe2\xad\x90\xe2\xad\x90\xe2\xad\x90\xe2\xad\x90OWNER OPERATOR NEEDED!!  \xe2\xad\x90\xe2\xad\x90 UP TO $12000 WEEKLY!!\xe2\xad\x90\xe2\xad\x90\xe2\xad\x90\xe2\xad\x90 (Lemont) Mid Group Trucks was founded in Willowbrook, IL. We\'re a company focused on understanding and prioritizing your needs. We have industry leading CSA scores which allows us to get the best rates on the market, and thanks to our long standing relationships with customers we have consistent freight year round. Let\'s work together!  \xe2\xad\x90Call or text Boban at (206)402-7221, we would love to team up with you!  \xf0\x9f\x94\xb7 Up to $12000 weekly gross revenue                                           \xf0\x9f\x94\xb7 Direct deposit every Friday \xf0\x9f\x94\xb7 Take home $5000-$8000 weekly! \xf0\x9f\x94\xb7 Paid detention and layover                                                          \xf0\x9f\x94\xb7 24/7 non forced dispatch \xf0\x9f\x94\xb7 We do your IFTA and highway use tax for you                          \xf0\x9f\x94\xb7 12% commission \xf0\x9f\x94\xb7 Trailer rent available                                                                   \xf0\x9f\x94\xb7 Consistent no touch freight \xf0\x9f\x94\xb7 Rate confirmation                                                                       \xf0\x9f\x94\xb7 YOU choose your home time  Requirements : \xf0\x9f\x94\xb6 2 years experience \xf0\x9f\x94\xb6 25 years old \xf0\x9f\x94\xb6 Good driving record",7406152089
